UserPrincipalName,DisplayName,FirstName,LastName,JobTitle,Role,Specialty,Department,EmployeeType,EmployeeID,Company,OfficeLocation,City,State,Country,UsageLocation,ManagerUPN,CostCenter,LicenseSKU,AccountEnabled,ContractStartDate,ContractEndDate,PasswordPolicies,ContractorTier,SecurityClearance,BackgroundCheckStatus,NDA_Signed
marcus.reyes@arbofelipe2003outlook.onmicrosoft.com,Marcus Reyes,Marcus,Reyes,Identity & Access Management Engineer,IAM Engineer,Privileged Access Management,Cybersecurity Contractors,Contractor,CTR-2025-0001,CyberSec Contract Group,Remote,Remote,N/A,US,US,ciso.contractor@arbofelipe2003outlook.onmicrosoft.com,CC-CYBERSEC-001,ENTERPRISEPREMIUM,TRUE,2025-05-06,2026-05-05,DisablePasswordExpiration,External,Secret,Completed,Signed
priya.nair@arbofelipe2003outlook.onmicrosoft.com,Priya Nair,Priya,Nair,IAM Solutions Architect,IAM Architect,Zero Trust Architecture,Cybersecurity Contractors,Contractor,CTR-2025-0002,CyberSec Contract Group,Remote,Remote,N/A,US,US,ciso.contractor@arbofelipe2003outlook.onmicrosoft.com,CC-CYBERSEC-001,ENTERPRISEPREMIUM,TRUE,2025-05-13,2026-05-05,DisablePasswordExpiration,External,Public Trust,Completed,Signed
jordan.whitfield@arbofelipe2003outlook.onmicrosoft.com,Jordan Whitfield,Jordan,Whitfield,Identity Governance Analyst,IAM Analyst,Role Mining & Certification,Cybersecurity Contractors,Contractor,CTR-2025-0003,CyberSec Contract Group,Remote,Remote,N/A,US,US,ciso.contractor@arbofelipe2003outlook.onmicrosoft.com,CC-CYBERSEC-001,ENTERPRISEPREMIUM,TRUE,2025-05-17,2026-05-05,DisablePasswordExpiration,External,Public Trust,Completed,Signed
danielle.okafor@arbofelipe2003outlook.onmicrosoft.com,Danielle Okafor,Danielle,Okafor,Security Operations Analyst II,SOC Analyst L2,Threat Detection & SIEM,Cybersecurity Contractors,Contractor,CTR-2025-0004,CyberSec Contract Group,Remote,Remote,N/A,US,US,ciso.contractor@arbofelipe2003outlook.onmicrosoft.com,CC-CYBERSEC-001,ENTERPRISEPREMIUM,TRUE,2025-05-08,2026-05-05,DisablePasswordExpiration,External,None,Completed,Signed
ethan.bowen@arbofelipe2003outlook.onmicrosoft.com,Ethan Bowen,Ethan,Bowen,Senior Security Operations Analyst,SOC Analyst L3,Incident Response,Cybersecurity Contractors,Contractor,CTR-2025-0005,CyberSec Contract Group,Remote,Remote,N/A,US,US,ciso.contractor@arbofelipe2003outlook.onmicrosoft.com,CC-CYBERSEC-001,ENTERPRISEPREMIUM,TRUE,2025-05-09,2026-05-05,DisablePasswordExpiration,External,Secret,Completed,Signed
sofia.marchetti@arbofelipe2003outlook.onmicrosoft.com,Sofia Marchetti,Sofia,Marchetti,Security Operations Lead,SOC Lead,Alert Triage & Escalation,Cybersecurity Contractors,Contractor,CTR-2025-0006,CyberSec Contract Group,Remote,Remote,N/A,US,US,ciso.contractor@arbofelipe2003outlook.onmicrosoft.com,CC-CYBERSEC-001,ENTERPRISEPREMIUM,TRUE,2025-05-18,2026-05-05,DisablePasswordExpiration,External,Public Trust,Completed,Signed
kwame.asante@arbofelipe2003outlook.onmicrosoft.com,Kwame Asante,Kwame,Asante,Governance Risk & Compliance Analyst,GRC Analyst,NIST & ISO 27001,Cybersecurity Contractors,Contractor,CTR-2025-0007,CyberSec Contract Group,Remote,Remote,N/A,US,US,ciso.contractor@arbofelipe2003outlook.onmicrosoft.com,CC-CYBERSEC-001,ENTERPRISEPREMIUM,TRUE,2025-05-14,2026-05-05,DisablePasswordExpiration,External,None,Completed,Signed
leila.hassan@arbofelipe2003outlook.onmicrosoft.com,Leila Hassan,Leila,Hassan,Risk & Compliance Consultant,GRC Consultant,SOC 2 & FedRAMP,Cybersecurity Contractors,Contractor,CTR-2025-0008,CyberSec Contract Group,Remote,Remote,N/A,US,US,ciso.contractor@arbofelipe2003outlook.onmicrosoft.com,CC-CYBERSEC-001,ENTERPRISEPREMIUM,TRUE,2025-05-08,2026-05-05,DisablePasswordExpiration,External,Secret,Completed,Signed
ryan.callahan@arbofelipe2003outlook.onmicrosoft.com,Ryan Callahan,Ryan,Callahan,IT Compliance Auditor,Compliance Auditor,PCI-DSS Assessments,Cybersecurity Contractors,Contractor,CTR-2025-0009,CyberSec Contract Group,Remote,Remote,N/A,US,US,ciso.contractor@arbofelipe2003outlook.onmicrosoft.com,CC-CYBERSEC-001,ENTERPRISEPREMIUM,TRUE,2025-05-06,2026-05-05,DisablePasswordExpiration,External,Secret,Completed,Signed
aleksei.volkov@arbofelipe2003outlook.onmicrosoft.com,Aleksei Volkov,Aleksei,Volkov,Penetration Tester,Penetration Tester,Web Application Testing,Cybersecurity Contractors,Contractor,CTR-2025-0010,CyberSec Contract Group,Remote,Remote,N/A,US,US,ciso.contractor@arbofelipe2003outlook.onmicrosoft.com,CC-CYBERSEC-001,ENTERPRISEPREMIUM,TRUE,2025-05-19,2026-05-05,DisablePasswordExpiration,External,Secret,Completed,Signed
